ARCHIVO GENERADO AUTOMÁTICAMENTE POR unir_logs.py
Fecha de generación: 2026-07-21 14:26:32
[2026-07-21 13:09:25.411] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.412] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.413] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.415] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.418] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.418] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.420] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.422] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.423] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.424] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.427] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.428] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.430] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.431] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.432] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.434] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.436] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.437] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.439] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.442] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.442] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.444] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.446] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.447] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.449] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.451] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.451] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.454] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.458] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.458] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.460] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.462] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.462] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.465] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.467] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.467] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.470] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.472] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.473] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.474] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.476] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.478] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.479] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.482] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.482] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.485] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.487] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.488] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.490] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.491] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.492] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.494] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.497] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.497] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.499] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.500] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.502] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.504] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.507] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.507] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.509] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.511] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.513] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.514] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.517] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.517] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.519] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.522] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.523] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.524] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.526] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.527] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.529] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.531] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.532] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.534] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.538] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.538] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.542] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.545] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.546] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.549] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.551] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.552] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.554] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.558] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.558] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.561] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.564] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.565] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.567] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.570] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.571] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.574] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.577] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.578] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.581] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.583] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.584] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.586] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.590] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.591] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.593] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.595] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.596] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.599] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.602] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.602] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.606] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.608] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.609] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.613] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.615] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.617] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.619] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.622] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.622] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.626] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.628] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.628] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.631] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.633] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.634] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.638] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.642] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.642] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.644] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.648] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.648] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.650] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.655] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.656] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.658] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.660] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.661] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.664] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.667] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.667] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.670] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.673] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.674] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.677] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.679] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.680] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.682] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.684] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.686] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.688] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.690] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.691] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.693] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.696] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.696] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.698] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.701] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.701] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.703] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.706] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.707] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.709] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.711] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.712] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.713] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.716] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.716] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.717] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.720] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.721] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.723] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.725] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.725] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.727] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.729] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.730] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.732] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.733] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.734] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.736] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.740] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.740] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.742] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.746] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.746] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.748] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.750] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.751] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.753] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.754] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.755] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.758] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.760] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.760] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.763] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.764] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.764] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.768] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.769] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.770] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.772] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.774] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.775] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.778] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.779] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.780] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.782] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.785] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.785] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.787] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.790] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.790] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.791] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.793] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.794] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.797] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.799] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.799] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.801] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.804] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.804] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.806] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.809] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.810] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.812] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.814] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.815] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.816] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.819] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.820] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.822] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.824] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.824] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.826] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.857] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.858] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.859] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.861] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.861] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.864] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.865] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.866] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.868] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.868] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.869] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.872] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.872] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.873] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.874] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.876] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.877] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.878] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.878] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.879] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.881] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.882] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.882] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.885] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.886] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.886] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.888] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.888] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.890] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.891] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.892] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.893] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.895] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.895] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.895] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.898] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.900] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.900] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.902] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.903] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.903] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.906] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.907] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.908] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.910] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.910] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.911] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.913] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.914] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.915] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.917] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.918] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.920] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.922] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.925] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.926] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.928] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.930] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.932] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.934] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.936] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.939] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.941] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.943] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.944] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.946] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.949] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.951] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.953] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.955] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.957] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.959] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.961] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.963] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.965] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.966] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.969] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.971] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.974] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.975] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.978] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.980] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.982] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.984] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.986] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.988] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.994] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.994] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:25.997] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:25.999] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:25.999] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:26.001] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:26.004] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:26.004] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:26.008] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:26.010] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:26.010] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:26.012] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:26.014] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:26.014] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:26.017] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:26.019] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:26.020] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:26.022] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:26.024] Spawner inicializado. Componentes: 0 | Monstruos: 1
[2026-07-21 13:09:26.024] Iniciando oleada 1/5. Total de enemigos a generar: 40
[2026-07-21 13:09:26.027] Monstruo 'Zombie' instanciado con éxito.
[2026-07-21 13:09:26.029] Spawner inicializado. Componentes: 0 | Monstruos: 1
